Timestamp,TimeDelta,AddrMode,DevAddr,PacketInformation,CommandId,Status,Description
23-01-03 14:28:23:303070,0,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-03 14:28:23:318068,0.014998,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-03 14:28:28:590067,5.271999,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-03 14:28:28:599099,0.009032,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-03 14:28:31:738069,3.13897,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-03 14:28:31:743098,0.005029,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-03 14:28:48:025879,16.282781,0x02,0xfffc,55 00 34 00 04 fe ff fc cc 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xcc (s) tc_significance: 0x1
23-01-03 14:28:48:033909,0.00803,0x02,0xfffc,55 00 34 00 04 fe ff fc cc 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xcc (s) tc_significance: 0x1
23-01-03 14:28:56:055877,8.021968,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:28:56:063878,0.008001,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:29:02:390878,6.327,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-03 14:29:02:398907,0.008029,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-03 14:29:10:309879,7.910972,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:29:10:313892,0.004013,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:48:15:492421,1145.178529,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-03 14:48:15:501425,0.009004,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-03 14:48:19:966134,4.464709,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:48:19:972330,0.006196,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:48:22:022628,2.050298,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:48:22:027631,0.005003,0x02,0xfffc,55 00 34 00 04 32 ff fc 00 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0x0 (s) tc_significance: 0x1
23-01-03 14:48:26:502122,4.474491,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-03 14:48:26:507255,0.005133,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
