Timestamp,TimeDelta,AddrMode,DevAddr,PacketInformation,CommandId,Status,Description
23-01-02 17:24:20:878606,0,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:24:20:893604,0.014998,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:24:31:439718,10.546114,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:24:31:447893,0.008175,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:24:33:954897,2.507004,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:24:33:962931,0.008034,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:24:50:885706,16.922775,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:24:50:892694,0.006988,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:24:53:217090,2.324396,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:24:53:223089,0.005999,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:26:22:091728,88.868639,,,55 00 05 00 00 05 aa ,ZBHCI_CMD_BDB_FACTORY_RESET,,
23-01-02 17:26:22:095743,0.004015,,,55 00 05 00 00 05 aa ,ZBHCI_CMD_BDB_FACTORY_RESET,,
23-01-02 17:26:38:168334,16.072591,,,55 00 06 00 18 96 11 22 33 44 55 66 77 88 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc aa ,ZBHCI_CMD_BDB_PRE_INSTALL_CODE,,ieee_addr: 0x1122334455667788 install_code: 0xcccccccccccccccccccccccccccccccc
23-01-02 17:26:38:173334,0.005,,,55 00 06 00 18 96 11 22 33 44 55 66 77 88 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc aa ,ZBHCI_CMD_BDB_PRE_INSTALL_CODE,,ieee_addr: 0x1122334455667788 install_code: 0xcccccccccccccccccccccccccccccccc
23-01-02 17:26:48:394926,10.221592,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:26:48:402964,0.008038,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:26:56:780709,8.377745,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:26:56:785683,0.004974,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:30:59:228253,242.44257,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:30:59:234255,0.006002,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:31:04:365628,5.131373,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:31:04:370609,0.004981,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:31:09:273150,4.902541,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:31:09:279138,0.005988,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:34:43:735269,214.456131,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:34:43:745387,0.010118,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:34:48:299069,4.553682,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:34:48:306252,0.007183,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:34:50:653279,2.347027,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:34:50:661415,0.008136,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:35:00:496226,9.834811,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:35:00:501214,0.004988,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:36:55:826156,115.324942,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:36:55:836158,0.010002,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-02 17:36:58:879802,3.043644,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:36:58:885801,0.005999,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-02 17:37:02:623431,3.73763,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:37:02:627429,0.003998,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:37:04:370767,1.743338,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:37:04:380765,0.009998,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-02 17:37:07:476179,3.095414,,,55 00 05 00 00 05 aa ,ZBHCI_CMD_BDB_FACTORY_RESET,,
23-01-02 17:37:07:485177,0.008998,,,55 00 05 00 00 05 aa ,ZBHCI_CMD_BDB_FACTORY_RESET,,
23-01-02 17:39:36:187620,148.702443,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:39:37:820750,1.63313,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:39:38:643445,0.822695,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:39:39:031200,0.387755,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:39:39:461478,0.430278,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:39:39:824577,0.363099,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-02 17:39:41:685596,1.861019,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
