Timestamp,TimeDelta,AddrMode,DevAddr,PacketInformation,CommandId,Status,Description
22-12-30 15:46:12:879175,0,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
22-12-30 15:46:12:899136,0.019961,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
22-12-30 15:47:02:580593,49.681457,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
22-12-30 15:47:02:583624,0.003031,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
22-12-30 15:48:14:353730,71.770106,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
22-12-30 15:48:14:354717,0.000987,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
