Timestamp,TimeDelta,AddrMode,DevAddr,PacketInformation,CommandId,Status,Description
23-01-20 12:04:25:285992,0,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-20 12:04:25:305298,0.019306,,,55 80 00 00 04 c4 00 40 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x40 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:04:25:390267,0.084969,,,55 80 40 00 06 c6 00 00 00 00 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_RSP,ZBHCI_MSG_STATUS_SUCCESS,total_cnt:0x0 start_idx:0x0 list_count:0x0 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:04:32:161495,6.771228,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-20 12:04:32:170576,0.009081,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:04:33:850841,1.680265,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-20 12:04:33:860143,0.009302,,,55 80 00 00 04 85 00 01 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x1 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:25:36:601336,1262.741193,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-20 12:25:52:544333,15.942997,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-20 12:28:39:405846,166.861513,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-20 12:28:39:415844,0.009998,,,55 80 00 00 04 c4 00 40 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x40 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:28:39:510844,0.095,,,55 80 40 00 06 c6 00 00 00 00 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_RSP,ZBHCI_MSG_STATUS_SUCCESS,total_cnt:0x0 start_idx:0x0 list_count:0x0 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:28:42:703848,3.193004,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-20 12:28:42:710844,0.006996,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:28:44:789845,2.079001,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-20 12:28:44:793874,0.004029,,,55 80 00 00 04 85 00 01 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x1 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-20 12:32:07:494352,202.700478,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
