Timestamp,TimeDelta,AddrMode,DevAddr,PacketInformation,CommandId,Status,Description
23-01-12 18:55:54:322745,0,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-12 18:55:54:339749,0.017004,,,55 80 00 00 04 c4 00 40 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x40 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-12 18:55:54:428755,0.089006,,,55 80 40 00 06 c6 00 00 00 00 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_RSP,ZBHCI_MSG_STATUS_SUCCESS,total_cnt:0x0 start_idx:0x0 list_count:0x0 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-12 18:56:04:052887,9.624132,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-12 18:56:04:063914,0.011027,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-12 18:56:06:042169,1.978255,,,55 00 01 00 00 01 aa ,ZBHCI_CMD_BDB_COMMISSION_FORMATION,,
23-01-12 18:56:06:054147,0.011978,,,55 80 00 00 04 85 00 01 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x1 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-12 19:00:20:207948,254.153801,0x02,0xffff,55 00 34 00 04 ce ff ff ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-12 19:00:20:219164,0.011216,,,55 80 00 00 04 b0 00 34 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x34 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
